Hastag,Post Count
dog,350000000
dogsofinstagram,290000000
dogsofmathias777,130000000
doglover,88930000
doglife,58060000
dogs,150000000
doglovers,55600000
dogoftheday,80220000
dogphotography,18140000
dogmom,16620000
doglove,22520000
dogmodel,10130000
dogsitting,10010000
dogtraining,7828000
dogsofinstaworld,17770000
dogslife,22610000
doğa,9863000
dogstagram,120000000
doggy,25040000
mathias777dogs,140000000
mathiaslovedogs,130000000
dogs_of_instagram,22400000
dogsofig,20800000
doggrooming,5636000
dogsofinsta,36960000
doggo,31190000
dogofinstagram,9392000
dogscorner,7271000
dogwalk,5897000
doginstagram,3878000
dogstyle,3525000
dogloversofinstagram,2827000
dogmomlife,2343000
dogfeatures,1218000
dogfluencer,1087000
dogportrait,2648000
doggroomer,2903000
dogtrainer,2575000
dogsdaily,2738000
dogslover,3940000
dogoargentino,1529000
dogsmile,1666000
dogsofinstgram,7410000
dogtreats,2329000
dogwalking,5574000
dogwalker,5420000
dogclothes,1372000
dogphoto,2894000
cutedog,18960000
dogworld,1777000
doggram,1462000
dogdad,1980000
dogsandpals,3745000
dogsthathike,2602000
instadog,110000000
